user_id,subscribed_user_id
7cb97fec-1ca3-4a09-aa0f-0473d1ec1ea7,bd629418-fe03-4cb9-8fd6-2eebeaac59ac
04b981f7-3391-4b0a-8ae8-678f967018d2,e5f33dee-22d0-4cc9-b66b-7b472684a526
a0beab44-c90f-460d-b989-86f715908c0d,27d77680-d623-4ac2-8dbf-19c5bd4691c0
7cb97fec-1ca3-4a09-aa0f-0473d1ec1ea7,e5f33dee-22d0-4cc9-b66b-7b472684a526
27d77680-d623-4ac2-8dbf-19c5bd4691c0,7cb97fec-1ca3-4a09-aa0f-0473d1ec1ea7
04b981f7-3391-4b0a-8ae8-678f967018d2,e7dc69af-d8cc-4917-88fa-19761f3fa825
bd629418-fe03-4cb9-8fd6-2eebeaac59ac,e5f33dee-22d0-4cc9-b66b-7b472684a526
27d77680-d623-4ac2-8dbf-19c5bd4691c0,a0beab44-c90f-460d-b989-86f715908c0d
e5f33dee-22d0-4cc9-b66b-7b472684a526,bdb95744-c06a-484f-bac0-c4b183a0a44e
cb2c8394-6aa8-46a7-b26c-15d8bf2aa0d4,04b981f7-3391-4b0a-8ae8-678f967018d2
